CAS,List Name,TSCA  Chemical Name,List Call,Caveat - Chemical Use,Edit Description,Date of Edit
112-42-5,1-Undecanol,1-Undecanol,Yellow [Triangle],"*Repeat dose toxicant, see above.",Chemical added to the list,41479.0
112-53-8,1-Dodecanol,1-Dodecanol,Yellow [Triangle],"*Repeat dose toxicant, see above.",Chemical added to the list,41479.0
112-72-1,1-Tetradecanol,1-Tetradecanol,Yellow [Triangle],"*Repeat dose toxicant, see above.",Chemical added to the list,41479.0
54982-83-1,Muskonate,"1,4-Dioxacyclohexadecane-5,16-dione ",Half Green [Circle],,Chemical added to the list,41479.0
104-50-7,gamma-Octalactone,"2(3H)-Furanone, 5-butyldihydro-",Half Green [Circle],,Chemical added to the list,41479.0
104-61-0,gamma-Nonalactone,"2(3H)-Furanone, dihydro-5-pentyl-",Half Green [Circle],,Chemical added to the list,41479.0
105-21-5,gamma-Heptalactone,"2(3H)-Furanone, dihydro-5-propyl-",Half Green [Circle],,Chemical added to the list,41479.0
695-06-7,gamma-Hexalactone,"2(3H)-Furanone, 5-ethyldihydro-",Half Green [Circle],,Chemical added to the list,41479.0
692-86-4,Ethyl undecylenate,"10-Undecenoic acid, ethyl ester",Yellow [Triangle],"*Repeat dose toxicant, see above.",Chemical added to the list,41479.0
111-81-9,Methyl undecylenate,"10-Undecenoic acid, methyl ester",Yellow [Triangle],"*Repeat dose toxicant, see above.",Chemical added to the list,41479.0
70879-60-6,"(C16-C18)Alkyloxypolyethoxy ethyl methacrylate, ethyl acrylate,methacrylic acid polymer","2-Propenoic acid, 2-methyl-, polymers with Et acrylate and polyethylene glycol methacrylate C16-18-alkyl ethers",Green [Circle],,Chemical added to the list,41479.0
68603-25-8,"Alcohols, C8-10, ethoxylated propoxylated","Alcohols, C8-10, ethoxylated propoxylated",Green [Circle],,Chemical added to the list,41479.0
65-85-0,Benzoic acid,Benzoic acid,Green [Circle],,Chemical added to the list,41479.0
1330-43-4,Boron sodium oxide (B4Na2O7),Boron sodium oxide (B4Na2O7),Yellow [Triangle],*Only allowed as a protease stabilizer,Chemical added to the list,41479.0
3626-36-6,C.I. Direct Orange 26,"2-Naphthalenesulfonic acid, 7,7'-(carbonyldiimino)bis[4-hydroxy-3-(2-phenyldiazenyl)-, sodium salt (1:2)",Yellow [Triangle],,Chemical added to the list,41479.0
67846-68-8,"Ethanaminium, N,N-dimethyl-2-[(1-oxooctadecyl)oxy]-N-[2-[(1-oxooctadecyl)oxy]ethyl]-, chloride","Ethanaminium, N,N-dimethyl-2-[(1-oxooctadecyl)oxy]-N-[2-[(1-oxooctadecyl)oxy]ethyl]-, chloride (1:1)",Green [Circle],,Chemical added to the list,41479.0
15790-07-5,FD&C Yellow No. 6-aluminum lake,C.I. Pigment Yellow 104,Yellow [Triangle],,Chemical added to the list,41479.0
68410-45-7,"Gelatins, hydrolyzates","Gelatins, hydrolyzates",Green [Circle],,Chemical added to the list,41479.0
13446-18-9,"Magnesium(II) nitrate, hexahydrate","Nitric acid, magnesium salt (2:1)",Yellow [Triangle],*Only allowed as a preservative stabilizer,Chemical added to the list,41479.0
20846-91-7,"N,N'-Ethylenediamine disuccinic acid","L-Aspartic acid, N,N'-1,2-ethanediylbis-",Half Green [Circle],,Chemical added to the list,41479.0
6683-19-8,"Pentaerythritol, tetrakis(3,5-di-tert-butyl-4-hydroxyhydrocinnamate)","Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-, 1,1'-[2,2-bis[[3-[3,5-bis(1,1-dimethylethyl)-4-hydroxyphenyl]-1-oxopropoxy]methyl]-1,3-propanediyl] ester",Green [Circle],,Chemical added to the list,41479.0
26183-52-8,"Poly(oxy-1,2-ethanediyl), .alpha.-decyl-.omega.-hydroxy-","Poly(oxy-1,2-ethanediyl), .alpha.-decyl-.omega.-hydroxy-",Green [Circle],,Chemical added to the list,41479.0
9011-05-6,Polynoxylin,"Urea, polymer with formaldehyde",Yellow [Triangle],,Chemical added to the list,41479.0
126-92-1,Sodium ethasulfate,"Sulfuric acid, mono(2-ethylhexyl) ester, sodium salt (1:1)",Green [Circle],,Chemical added to the list,41479.0
178949-82-1,Sodium ethylene diamine disuccinate,"L-Aspartic acid, N,N'-1,2-ethanediylbis-, sodium salt (1:3)",Half Green [Circle],,Chemical added to the list,41479.0
55934-93-5,Tripropylene glycol n-butyl ether,"Propanol, [2-(2-butoxymethylethoxy)methylethoxy]-",Green [Circle],,Chemical added to the list,41264.0
64-17-5,Ethanol,Ethanol,Green [Circle],,Chemical added to the list,41264.0
67-63-0,Isopropanol,2-Propanol,Green [Circle],,Chemical added to the list,41264.0
7732-18-5,Water,Water,Green [Circle],,Chemical added to the list,41264.0
8052-35-5,"Molasses, blackstrap","Molasses, blackstrap",Green [Circle],,Chemical added to the list,41264.0
9003-07-0,Polypropylene,"1-Propene, homopolymer",Green [Circle],,Chemical added to the list,41264.0
13463-67-7,Titanium(IV) oxide,Titanium oxide (TiO2),Green [Circle],,Chemical added to the list,41264.0
9003-39-8,Polyvinylpyrrolidone,"2-Pyrrolidinone, 1-ethenyl-, homopolymer",Green [Circle],,Chemical added to the list,41264.0
3844-45-9,FD&C Blue No.1,"Benzenemethanaminium, N-ethyl-N-[4-[[4-[ethyl[(3-sulfophenyl)methyl]amino]phenyl](2-sulfophenyl)methylene]-2,5-cyclohexadien-1-ylidene]-3-sulfo-, inner salt, sodium salt (1:2)",Green [Circle],,Geometric color code changed from Yellow [Triangle] to Green [Circle],41264.0
53563-70-5,"Poly(oxy-1,2-ethanediyl), .alpha.-(carboxymethyl)-.omega.-(octyloxy)-","Poly(oxy-1,2-ethanediyl), .alpha.-(carboxymethyl)-.omega.-(octyloxy)-",Green [Circle],,Chemical added to the list,41264.0
39354-45-5,"Poly(oxy-1,2-ethanediyl), .alpha.-(3-carboxy-1-oxo-3-sulfopropyl)-.omega.-(dodecyloxy)-, disodium salt","Poly(oxy-1,2-ethanediyl), .alpha.-(3-carboxy-1-oxo-3-sulfopropyl)-.omega.-(dodecyloxy)-, sodium salt (1:2)",Green [Circle],,Chemical added to the list,41264.0
68605-97-0,"Fatty acids, tallow, hydrogenated, compds. with triethanolamine","Fatty acids, tallow, hydrogenated, compds. with triethanolamine",Green [Circle],,Chemical added to the list,41264.0
26590-05-6,"2-Propen-1-aminium, N,N-dimethyl-N-2-propenyl-, chloride, polymer with 2-propenamide","2-Propen-1-aminium, N,N-dimethyl-N-2-propen-1-yl-, chloride (1:1), polymer with 2-propenamide",,,Chemical removed from list,41264.0
68989-22-0,"Zeolites, NaA","Zeolites, NaA",Green [Circle],,Chemical added to the list,41264.0
1318-02-1,Zeolites,Zeolites,Green [Circle],,Chemical added to the list,41264.0
27593-14-2,Octyldimethylbetaine,"1-Octanaminium, N-(carboxymethyl)-N,N-dimethyl-, inner salt",Green [Circle],,Chemical added to the list,41264.0
